Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10192,2016,8,19,7,33,11,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-55.285,-31.877,10,7.4,,,,,
10193,2014,10,14,3,51,34.5,EL SALVADOR,EL SALVADOR:  GULF OF FONSECA,12.526,-88.123,40,7.3,8,1,,,5
10194,2016,8,24,1,36,2,ITALY,"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",42.704,13.238,4,6.2,9,299,368,5000,
10195,2016,8,24,10,34,58,MYANMAR (BURMA),MYANMAR (BURMA): CHAUK,20.923,94.569,82,6.8,5,4,20,10,
10196,2016,9,1,16,37,3,NEW ZEALAND,NEW ZEALAND:  GISBORNE,-37.359,179.146,19,7,5,,,,
10197,2016,9,10,12,27,41,TANZANIA,TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI,-1.036,31.618,40,5.9,,23,252,458,1172
10198,2016,9,11,13,10,7,MACEDONIA,BALKANS NW:  MACEDONIA,42.008,21.488,13,5.1,6,,137,10,
10199,2016,9,12,11,33,17,SOUTH KOREA,SOUTH KOREA:  GYEONGJU,35.781,129.216,13,5.4,6,1,14,21,
10200,2016,10,21,5,8,39,JAPAN,JAPAN:  KURAYOSHI,35.374,133.809,6,6.2,6,,7,100,2
10201,2016,10,26,19,18,43,ITALY,"ITALY:  VISSO, USSITA",42.956,13.067,10,6.1,7,1,,,
10202,2016,10,30,6,40,5,ITALY,ITALY: NORCIA,42.84,13.11,9,6.6,7,2,20,200,
10203,2001,10,12,5,2,34,CANADA,CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,20,6.1,,,,,
10204,2016,11,7,1,44,7,USA,OKLAHOMA:  CUSHING,35.988,-96.805,3,5,6,,,20,
10206,2016,11,13,11,2,34,NEW ZEALAND,NEW ZEALAND:  AMBERLEY,-42.737,173.054,15,7.8,8,2,,,
10209,2016,11,21,20,59,27,JAPAN,JAPAN: NEAR E COAST HONSHU,37.393,141.387,9,6.9,7,,15,,
10211,2016,11,24,18,43,0,NICARAGUA,NICARAGUA,11.96,-88.835,33,6.9,5,,,,
10215,2016,12,6,22,3,39,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13,6.5,8,104,857,100,245
10218,2016,12,8,17,38,28,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.681,161.327,40,7.8,8,1,,,191
10219,2016,12,9,19,11,24,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.749,161.132,20,6.9,7,,,,
10220,2016,12,17,10,51,5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND,-4.505,153.522,95,7.9,7,,,,
10221,2016,12,19,7,11,0,ECUADOR,ECUADOR:  ESMERALDAS,0.93,-79.84,6,5.4,6,3,47,,10
