Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10429,2019,7,9,12,37,1,,PHILIPPINES,"PHILIPPINES:  MINDANAO:  MAKILALA, TULUNAN",6.802,125.169,24,5.6,,1,3,,
10430,2019,7,24,19,33,15,,INDIA,INDIA:  MAHARASHTRA:  PALGHAR,20,72.9,10,3.8,,1,,,
10431,2019,8,2,12,3,27,5870,INDONESIA,INDONESIA:  JAVA:  BANTEN,-7.282,104.791,49,6.9,,8,8,,13
10432,2019,8,7,21,28,2,,TAIWAN,TAIWAN:  TAIPEI,24.475,121.947,10,5.9,,1,,,
10433,2019,8,8,11,25,31,,TURKEY,TURKEY:  DENIZLI,37.948,29.697,10,5.8,,,,,
10436,2017,3,21,23,10,15,,INDONESIA,INDONESIA:  BALI,-8.492,115.323,112,5.6,,,4,,
10437,2017,5,3,4,47,38,,TAJIKISTAN,"KYRGYZSTAN:  OSH, BATKEN",39.494,71.444,11,6,,,,,537
10438,2017,5,11,3,24,37,,AZERBAIJAN,IRAN:  ARDABIL,39.816,48.57,63,5.1,,,20,,
10439,2019,9,7,22,42,14,,CHINA,CHINA:  SICHUAN PROVINCE: NEIJIANG,29.573,105.064,10,5.1,,1,63,,132
10440,2011,5,10,8,55,9,5721,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-20.244,168.226,11,6.8,2,,,,
10441,2015,11,18,18,31,4.6,5722,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.899,158.422,13,6.8,5,,,,
10442,2017,11,19,9,26,13,5723,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-21.638,168.673,14,6.3,5,,,,
10443,2017,11,19,15,10,28,5724,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-21.503,168.598,13,6.6,4,,,,
10444,2018,10,16,1,3,58,5725,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-21.743,169.522,17,6.5,,,,,
10445,2017,8,13,16,51,5,,PERU,PERU:  JUNIN,-10.721,-74.566,32,5.8,,1,2,,
10446,2019,9,21,14,4,24,,ALBANIA,ALBANIA:  DURRES,41.381,19.454,10,5.6,,,132,45,
10447,2019,9,24,11,1,55,,PAKISTAN,PAKISTAN:  MIRPUR DISTRICT,33.106,73.766,10,5.6,,39,746,17,1756
